localidad	especie	total	biomasa	densidad	latitud	longitud	year	month	day	region	temperatura
isla_cerralvo	Holacanthus_passer	1.0	138.69581223888392	0.01	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Lutjanus_argentiventris	1.0	76.18586842906755	0.01	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Diadema_mexicanum	3.0	62.13	0.06	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Pinctada_mazatlanica	15.0	498.57692307692304	0.3	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Holacanthus_passer	3.0	416.0874367166517	0.03	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Lutjanus_argentiventris	4.0	735.681860773351	0.04	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Mycteroperca_rosacea	1.0	279.6084248390015	0.01	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Stegastes_rectrifaenum	3.0	2.355296233812496	0.03	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Zanclus_cornutus	4.0	53.046215550419795	0.04	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Pinctada_mazatlanica	22.0	731.2461538461538	0.44	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Stegastes_rectrifaenum	2.0	1.5701974892083308	0.02	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Diadema_mexicanum	1.0	20.71	0.02	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Isostichopus_fuscus	1.0	375.0	0.02	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Pinctada_mazatlanica	28.0	930.676923076923	0.56	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Holacanthus_passer	3.0	54.596740520928314	0.03	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Lutjanus_argentiventris	60.0	1069.2607672087995	0.6	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Stegastes_rectrifaenum	5.0	3.925493723020827	0.05	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Pinctada_mazatlanica	17.0	565.053846153846	0.34	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Holacanthus_passer	19.0	9907.412820244244	0.19	24.43486	-109.96716	2016	10	28	golfo	28.466198
isla_cerralvo	Acanthaster_planci	2.0	1132.5	0.04	24.43486	-109.96716	2016	10	28	golfo	28.466198
